date,pref,actual,forecast,rate
2025-09-10,神奈川県,3,2,1.5
2025-09-10,埼玉県,3,2,1.5
2025-09-10,千葉県,3,2,1.5
2025-09-10,新潟県,3,2,1.5
2025-09-10,長野県,3,2,1.5
2025-09-10,愛知県,3,2,1.5
2025-09-10,静岡県,3,2,1.5
2025-09-10,大阪府,3,2,1.5
2025-09-10,京都府,3,2,1.5
2025-09-10,兵庫県,3,2,1.5
2025-09-10,広島県,3,2,1.5
2025-09-10,岡山県,3,2,1.5
2025-09-10,福岡県,3,2,1.5
2025-09-10,熊本県,3,2,1.5
2025-09-10,鹿児島県,3,2,1.5
2025-09-11,北海道,2,4,0.5
2025-09-11,青森県,2,4,0.5
2025-09-11,宮城県,2,4,0.5
2025-09-11,福島県,2,4,0.5
2025-09-11,東京都,2,4,0.5
2025-09-11,神奈川県,2,4,0.5
2025-09-11,埼玉県,2,4,0.5
2025-09-11,千葉県,2,4,0.5
2025-09-11,新潟県,2,4,0.5
2025-09-11,長野県,2,4,0.5
2025-09-11,愛知県,2,4,0.5
2025-09-11,静岡県,2,4,0.5
2025-09-11,大阪府,2,4,0.5
2025-09-11,京都府,2,4,0.5
2025-09-11,兵庫県,2,4,0.5
2025-09-11,広島県,2,4,0.5
2025-09-11,岡山県,2,4,0.5
2025-09-11,福岡県,2,4,0.5
2025-09-11,熊本県,2,4,0.5
2025-09-11,鹿児島県,2,4,0.5
2025-09-12,北海道,2,3,0.67
2025-09-12,青森県,2,3,0.67
2025-09-12,宮城県,2,3,0.67
2025-09-12,福島県,2,3,0.67
2025-09-12,東京都,2,3,0.67
2025-09-12,神奈川県,2,3,0.67
2025-09-12,埼玉県,2,3,0.67
2025-09-12,千葉県,2,3,0.67
2025-09-12,新潟県,2,3,0.67
2025-09-12,長野県,2,3,0.67
2025-09-12,愛知県,2,3,0.67
2025-09-12,静岡県,2,3,0.67
2025-09-12,大阪府,2,3,0.67
2025-09-12,京都府,2,3,0.67
2025-09-12,兵庫県,2,3,0.67
2025-09-12,広島県,2,3,0.67
2025-09-12,岡山県,2,3,0.67
2025-09-12,福岡県,2,3,0.67
2025-09-12,熊本県,2,3,0.67
2025-09-12,鹿児島県,2,3,0.67
2025-09-13,北海道,2,2,1
2025-09-13,青森県,2,2,1
2025-09-13,宮城県,2,2,1
2025-09-13,福島県,2,2,1
2025-09-13,東京都,2,2,1
2025-09-13,神奈川県,2,2,1
2025-09-13,埼玉県,2,2,1
2025-09-13,千葉県,2,2,1
2025-09-13,新潟県,2,2,1
2025-09-13,長野県,2,2,1
2025-09-13,愛知県,2,2,1
2025-09-13,静岡県,2,2,1
2025-09-13,大阪府,2,2,1
2025-09-13,京都府,2,2,1
2025-09-13,兵庫県,2,2,1
2025-09-13,広島県,2,2,1
2025-09-13,岡山県,2,2,1
2025-09-13,福岡県,2,2,1
2025-09-13,熊本県,2,2,1
2025-09-13,鹿児島県,2,2,1
2025-09-14,北海道,3,2,1.5
2025-09-14,青森県,3,2,1.5
2025-09-14,宮城県,3,2,1.5
2025-09-14,福島県,3,2,1.5
2025-09-14,東京都,3,2,1.5
2025-09-14,神奈川県,3,2,1.5
2025-09-14,埼玉県,3,2,1.5
2025-09-14,千葉県,3,2,1.5
2025-09-14,新潟県,3,2,1.5
2025-09-14,長野県,3,2,1.5
2025-09-14,愛知県,3,2,1.5
2025-09-14,静岡県,3,2,1.5
2025-09-14,大阪府,3,2,1.5
2025-09-14,京都府,3,2,1.5
2025-09-14,兵庫県,3,2,1.5
2025-09-14,広島県,3,2,1.5
2025-09-14,岡山県,3,2,1.5
2025-09-14,福岡県,3,2,1.5
2025-09-14,熊本県,3,2,1.5
2025-09-14,鹿児島県,3,2,1.5
2025-09-15,北海道,2,4,0.5
2025-09-15,青森県,2,4,0.5
2025-09-15,宮城県,2,4,0.5
2025-09-15,福島県,2,4,0.5
2025-09-15,東京都,2,4,0.5
2025-09-15,神奈川県,2,4,0.5
2025-09-15,埼玉県,2,4,0.5
2025-09-15,千葉県,2,4,0.5
2025-09-15,新潟県,2,4,0.5
2025-09-15,長野県,2,4,0.5
2025-09-15,愛知県,2,4,0.5
2025-09-15,静岡県,2,4,0.5
2025-09-15,大阪府,2,4,0.5
2025-09-15,京都府,2,4,0.5
2025-09-15,兵庫県,2,4,0.5
2025-09-15,広島県,2,4,0.5
2025-09-15,岡山県,2,4,0.5
2025-09-15,福岡県,2,4,0.5
2025-09-15,熊本県,2,4,0.5
2025-09-15,鹿児島県,2,4,0.5
2025-09-16,北海道,2,3,0.67
2025-09-16,青森県,2,3,0.67
2025-09-16,宮城県,2,3,0.67
2025-09-16,福島県,2,3,0.67
2025-09-16,東京都,2,3,0.67
2025-09-16,神奈川県,2,3,0.67
2025-09-16,埼玉県,2,3,0.67
2025-09-16,千葉県,2,3,0.67
2025-09-16,新潟県,2,3,0.67
2025-09-16,長野県,2,3,0.67
2025-09-16,愛知県,2,3,0.67
2025-09-16,静岡県,2,3,0.67
2025-09-16,大阪府,2,3,0.67
2025-09-16,京都府,2,3,0.67
2025-09-16,兵庫県,2,3,0.67
2025-09-16,広島県,2,3,0.67
2025-09-16,岡山県,2,3,0.67
2025-09-16,福岡県,2,3,0.67
2025-09-16,熊本県,2,3,0.67
2025-09-16,鹿児島県,2,3,0.67
2025-09-17,北海道,2,2,1
2025-09-17,青森県,2,2,1
2025-09-17,宮城県,2,2,1
2025-09-17,福島県,2,2,1
2025-09-17,東京都,2,2,1
2025-09-17,神奈川県,2,2,1
2025-09-17,埼玉県,2,2,1
2025-09-17,千葉県,2,2,1
2025-09-17,新潟県,2,2,1
2025-09-17,長野県,2,2,1
2025-09-17,愛知県,2,2,1
2025-09-17,静岡県,2,2,1
2025-09-17,大阪府,2,2,1
2025-09-17,京都府,2,2,1
2025-09-17,兵庫県,2,2,1
2025-09-17,広島県,2,2,1
2025-09-17,岡山県,2,2,1
2025-09-17,福岡県,2,2,1
2025-09-17,熊本県,2,2,1
2025-09-17,鹿児島県,2,2,1
2025-09-18,北海道,3,2,1.5
2025-09-18,青森県,3,2,1.5
2025-09-18,宮城県,3,2,1.5
2025-09-18,福島県,3,2,1.5
2025-09-18,東京都,3,2,1.5
2025-09-18,神奈川県,3,2,1.5
2025-09-18,埼玉県,3,2,1.5
2025-09-18,千葉県,3,2,1.5
2025-09-18,新潟県,3,2,1.5
2025-09-18,長野県,3,2,1.5
2025-09-18,愛知県,3,2,1.5
2025-09-18,静岡県,3,2,1.5
2025-09-18,大阪府,3,2,1.5
2025-09-18,京都府,3,2,1.5
2025-09-18,兵庫県,3,2,1.5
2025-09-18,広島県,3,2,1.5
2025-09-18,岡山県,3,2,1.5
2025-09-18,福岡県,3,2,1.5
2025-09-18,熊本県,3,2,1.5
2025-09-18,鹿児島県,3,2,1.5
2025-09-19,北海道,2,4,0.5
2025-09-19,青森県,2,4,0.5
2025-09-19,宮城県,2,4,0.5
2025-09-19,福島県,2,4,0.5
2025-09-19,東京都,2,4,0.5
2025-09-19,神奈川県,2,4,0.5
2025-09-19,埼玉県,2,4,0.5
2025-09-19,千葉県,2,4,0.5
2025-09-19,新潟県,2,4,0.5
2025-09-19,長野県,2,4,0.5
2025-09-19,愛知県,2,4,0.5
2025-09-19,静岡県,2,4,0.5
2025-09-19,大阪府,2,4,0.5
2025-09-19,京都府,2,4,0.5
2025-09-19,兵庫県,2,4,0.5
2025-09-19,広島県,2,4,0.5
2025-09-19,岡山県,2,4,0.5
2025-09-19,福岡県,2,4,0.5
2025-09-19,熊本県,2,4,0.5
2025-09-19,鹿児島県,2,4,0.5
2025-09-20,北海道,2,3,0.67
2025-09-20,青森県,2,3,0.67
2025-09-20,宮城県,2,3,0.67
2025-09-20,福島県,2,3,0.67
2025-09-20,東京都,2,3,0.67
2025-09-20,神奈川県,2,3,0.67
2025-09-20,埼玉県,2,3,0.67
2025-09-20,千葉県,2,3,0.67
2025-09-20,新潟県,2,3,0.67
2025-09-20,長野県,2,3,0.67
2025-09-20,愛知県,2,3,0.67
2025-09-20,静岡県,2,3,0.67
2025-09-20,大阪府,2,3,0.67
2025-09-20,京都府,2,3,0.67
2025-09-20,兵庫県,2,3,0.67
2025-09-20,広島県,2,3,0.67
2025-09-20,岡山県,2,3,0.67
2025-09-20,福岡県,2,3,0.67
2025-09-20,熊本県,2,3,0.67
2025-09-20,鹿児島県,2,3,0.67
2025-09-21,北海道,2,2,1
2025-09-21,青森県,2,2,1
2025-09-21,宮城県,2,2,1
2025-09-21,福島県,2,2,1
2025-09-21,東京都,2,2,1
2025-09-21,神奈川県,2,2,1
2025-09-21,埼玉県,2,2,1
2025-09-21,千葉県,2,2,1
2025-09-21,新潟県,2,2,1
2025-09-21,長野県,2,2,1
2025-09-21,愛知県,2,2,1
2025-09-21,静岡県,2,2,1
2025-09-21,大阪府,2,2,1
2025-09-21,京都府,2,2,1
2025-09-21,兵庫県,2,2,1
2025-09-21,広島県,2,2,1
2025-09-21,岡山県,2,2,1
2025-09-21,福岡県,2,2,1
2025-09-21,熊本県,2,2,1
2025-09-21,鹿児島県,2,2,1
2025-09-22,北海道,3,2,1.5
2025-09-22,青森県,3,2,1.5
2025-09-22,宮城県,3,2,1.5
2025-09-22,福島県,3,2,1.5
2025-09-22,東京都,3,2,1.5
2025-09-22,神奈川県,3,2,1.5
2025-09-22,埼玉県,3,2,1.5
2025-09-22,千葉県,3,2,1.5
2025-09-22,新潟県,3,2,1.5
2025-09-22,長野県,3,2,1.5
2025-09-22,愛知県,3,2,1.5
2025-09-22,静岡県,3,2,1.5
2025-09-22,大阪府,3,2,1.5
2025-09-22,京都府,3,2,1.5
2025-09-22,兵庫県,3,2,1.5
2025-09-22,広島県,3,2,1.5
2025-09-22,岡山県,3,2,1.5
2025-09-22,福岡県,3,2,1.5
2025-09-22,熊本県,3,2,1.5
2025-09-22,鹿児島県,3,2,1.5
2025-09-23,北海道,2,4,0.5
2025-09-23,青森県,2,4,0.5
2025-09-23,宮城県,2,4,0.5
2025-09-23,福島県,2,4,0.5
2025-09-23,東京都,2,4,0.5
2025-09-23,神奈川県,2,4,0.5
2025-09-23,埼玉県,2,4,0.5
2025-09-23,千葉県,2,4,0.5
2025-09-23,新潟県,2,4,0.5
2025-09-23,長野県,2,4,0.5
2025-09-23,愛知県,2,4,0.5
2025-09-23,静岡県,2,4,0.5
2025-09-23,大阪府,2,4,0.5
2025-09-23,京都府,2,4,0.5
2025-09-23,兵庫県,2,4,0.5
2025-09-23,広島県,2,4,0.5
2025-09-23,岡山県,2,4,0.5
2025-09-23,福岡県,2,4,0.5
2025-09-23,熊本県,2,4,0.5
2025-09-23,鹿児島県,2,4,0.5
2025-09-24,北海道,2,3,0.67
2025-09-24,青森県,2,3,0.67
2025-09-24,宮城県,2,3,0.67
2025-09-24,福島県,2,3,0.67
2025-09-24,東京都,2,3,0.67
2025-09-24,神奈川県,2,3,0.67
2025-09-24,埼玉県,2,3,0.67
2025-09-24,千葉県,2,3,0.67
2025-09-24,新潟県,2,3,0.67
2025-09-24,長野県,2,3,0.67
2025-09-24,愛知県,2,3,0.67
2025-09-24,静岡県,2,3,0.67
2025-09-24,大阪府,2,3,0.67
2025-09-24,京都府,2,3,0.67
2025-09-24,兵庫県,2,3,0.67
2025-09-24,広島県,2,3,0.67
2025-09-24,岡山県,2,3,0.67
2025-09-24,福岡県,2,3,0.67
2025-09-24,熊本県,2,3,0.67
2025-09-24,鹿児島県,2,3,0.67
2025-09-25,北海道,2,2,1
2025-09-25,青森県,2,2,1
2025-09-25,宮城県,2,2,1
2025-09-25,福島県,2,2,1
2025-09-25,東京都,2,2,1
2025-09-25,神奈川県,2,2,1
2025-09-25,埼玉県,2,2,1
2025-09-25,千葉県,2,2,1
2025-09-25,新潟県,2,2,1
2025-09-25,長野県,2,2,1
2025-09-25,愛知県,2,2,1
2025-09-25,静岡県,2,2,1
2025-09-25,大阪府,2,2,1
2025-09-25,京都府,2,2,1
2025-09-25,兵庫県,2,2,1
2025-09-25,広島県,2,2,1
2025-09-25,岡山県,2,2,1
2025-09-25,福岡県,2,2,1
2025-09-25,熊本県,2,2,1
2025-09-25,鹿児島県,2,2,1
2025-09-26,北海道,3,2,1.5
2025-09-26,青森県,3,2,1.5
2025-09-26,宮城県,3,2,1.5
2025-09-26,福島県,3,2,1.5
2025-09-26,東京都,3,2,1.5
2025-09-26,神奈川県,3,2,1.5
2025-09-26,埼玉県,3,2,1.5
2025-09-26,千葉県,3,2,1.5
2025-09-26,新潟県,3,2,1.5
2025-09-26,長野県,3,2,1.5
2025-09-26,愛知県,3,2,1.5
2025-09-26,静岡県,3,2,1.5
2025-09-26,大阪府,3,2,1.5
2025-09-26,京都府,3,2,1.5
2025-09-26,兵庫県,3,2,1.5
2025-09-26,広島県,3,2,1.5
2025-09-26,岡山県,3,2,1.5
2025-09-26,福岡県,3,2,1.5
2025-09-26,熊本県,3,2,1.5
2025-09-26,鹿児島県,3,2,1.5
2025-09-27,北海道,2,4,0.5
2025-09-27,青森県,2,4,0.5
2025-09-27,宮城県,2,4,0.5
2025-09-27,福島県,2,4,0.5
2025-09-27,東京都,2,4,0.5
2025-09-27,神奈川県,2,4,0.5
2025-09-27,埼玉県,2,4,0.5
2025-09-27,千葉県,2,4,0.5
2025-09-27,新潟県,2,4,0.5
2025-09-27,長野県,2,4,0.5
2025-09-27,愛知県,2,4,0.5
2025-09-27,静岡県,2,4,0.5
2025-09-27,大阪府,2,4,0.5
2025-09-27,京都府,2,4,0.5
2025-09-27,兵庫県,2,4,0.5
2025-09-27,広島県,2,4,0.5
2025-09-27,岡山県,2,4,0.5
2025-09-27,福岡県,2,4,0.5
2025-09-27,熊本県,2,4,0.5
2025-09-27,鹿児島県,2,4,0.5
2025-09-28,北海道,2,3,0.67
2025-09-28,青森県,2,3,0.67
2025-09-28,宮城県,2,3,0.67
2025-09-28,福島県,2,3,0.67
2025-09-28,東京都,2,3,0.67
2025-09-28,神奈川県,2,3,0.67
2025-09-28,埼玉県,2,3,0.67
2025-09-28,千葉県,2,3,0.67
2025-09-28,新潟県,2,3,0.67
2025-09-28,長野県,2,3,0.67
2025-09-28,愛知県,2,3,0.67
2025-09-28,静岡県,2,3,0.67
2025-09-28,大阪府,2,3,0.67
2025-09-28,京都府,2,3,0.67
2025-09-28,兵庫県,2,3,0.67
2025-09-28,広島県,2,3,0.67
2025-09-28,岡山県,2,3,0.67
2025-09-28,福岡県,2,3,0.67
2025-09-28,熊本県,2,3,0.67
2025-09-28,鹿児島県,2,3,0.67
2025-09-29,北海道,2,2,1
2025-09-29,青森県,2,2,1
2025-09-29,宮城県,2,2,1
2025-09-29,福島県,2,2,1
2025-09-29,東京都,2,2,1
2025-09-29,神奈川県,2,2,1
2025-09-29,埼玉県,2,2,1
2025-09-29,千葉県,2,2,1
2025-09-29,新潟県,2,2,1
2025-09-29,長野県,2,2,1
2025-09-29,愛知県,2,2,1
2025-09-29,静岡県,2,2,1
2025-09-29,大阪府,2,2,1
2025-09-29,京都府,2,2,1
2025-09-29,兵庫県,2,2,1
2025-09-29,広島県,2,2,1
2025-09-29,岡山県,2,2,1
2025-09-29,福岡県,2,2,1
2025-09-29,熊本県,2,2,1
2025-09-29,鹿児島県,2,2,1
2025-09-30,北海道,3,2,1.5
2025-09-30,青森県,3,2,1.5
2025-09-30,宮城県,3,2,1.5
2025-09-30,福島県,3,2,1.5
2025-09-30,東京都,3,2,1.5
2025-09-30,神奈川県,3,2,1.5
2025-09-30,埼玉県,3,2,1.5
2025-09-30,千葉県,3,2,1.5
2025-09-30,新潟県,3,2,1.5
2025-09-30,長野県,3,2,1.5
2025-09-30,愛知県,3,2,1.5
2025-09-30,静岡県,3,2,1.5
2025-09-30,大阪府,3,2,1.5
2025-09-30,京都府,3,2,1.5
2025-09-30,兵庫県,3,2,1.5
2025-09-30,広島県,3,2,1.5
2025-09-30,岡山県,3,2,1.5
2025-09-30,福岡県,3,2,1.5
2025-09-30,熊本県,3,2,1.5
2025-09-30,鹿児島県,3,2,1.5
