date,from,to,number
2025-08-16,埼玉県,千葉県,0
2025-08-17,埼玉県,千葉県,0
2025-08-18,埼玉県,千葉県,0
2025-08-19,埼玉県,千葉県,0
2025-08-20,埼玉県,千葉県,0
2025-08-21,埼玉県,千葉県,0
2025-08-22,埼玉県,千葉県,0
2025-08-23,埼玉県,千葉県,0
2025-08-24,埼玉県,千葉県,0
2025-08-25,埼玉県,千葉県,0
2025-08-26,埼玉県,千葉県,0
2025-08-27,埼玉県,千葉県,0
2025-08-28,埼玉県,千葉県,0
2025-08-29,埼玉県,千葉県,1
2025-08-30,埼玉県,千葉県,2
2025-08-01,埼玉県,北海道,0
2025-08-02,埼玉県,北海道,1
2025-08-03,埼玉県,北海道,2
2025-08-04,埼玉県,北海道,0
2025-08-05,埼玉県,北海道,0
2025-08-06,埼玉県,北海道,0
2025-08-07,埼玉県,北海道,0
2025-08-08,埼玉県,北海道,0
2025-08-09,埼玉県,北海道,0
2025-08-10,埼玉県,北海道,0
2025-08-11,埼玉県,北海道,0
2025-08-12,埼玉県,北海道,0
2025-08-13,埼玉県,北海道,1
2025-08-14,埼玉県,北海道,3
2025-08-15,埼玉県,北海道,0
2025-08-16,埼玉県,北海道,1
2025-08-17,埼玉県,北海道,0
2025-08-18,埼玉県,北海道,0
2025-08-19,埼玉県,北海道,0
2025-08-20,埼玉県,北海道,0
2025-08-21,埼玉県,北海道,0
2025-08-22,埼玉県,北海道,0
2025-08-23,埼玉県,北海道,2
2025-08-24,埼玉県,北海道,0
2025-08-25,埼玉県,北海道,0
2025-08-26,埼玉県,北海道,0
2025-08-27,埼玉県,北海道,0
2025-08-28,埼玉県,北海道,0
2025-08-29,埼玉県,北海道,0
2025-08-30,埼玉県,北海道,0
2025-08-01,埼玉県,福島県,3
2025-08-02,埼玉県,福島県,2
2025-08-03,埼玉県,福島県,1
2025-08-04,埼玉県,福島県,3
2025-08-05,埼玉県,福島県,2
2025-08-06,埼玉県,福島県,1
2025-08-07,埼玉県,福島県,3
2025-08-08,埼玉県,福島県,2
2025-08-09,埼玉県,福島県,1
2025-08-10,埼玉県,福島県,2
2025-08-11,埼玉県,福島県,2
2025-08-12,埼玉県,福島県,1
2025-08-13,埼玉県,福島県,2
2025-08-14,埼玉県,福島県,2
2025-08-15,埼玉県,福島県,1
2025-08-16,埼玉県,福島県,2
2025-08-17,埼玉県,福島県,2
2025-08-18,埼玉県,福島県,1
2025-08-19,埼玉県,福島県,2
2025-08-20,埼玉県,福島県,3
2025-08-21,埼玉県,福島県,1
2025-08-22,埼玉県,福島県,3
2025-08-23,埼玉県,福島県,2
2025-08-24,埼玉県,福島県,1
2025-08-25,埼玉県,福島県,2
2025-08-26,埼玉県,福島県,3
2025-08-27,埼玉県,福島県,1
2025-08-28,埼玉県,福島県,2
2025-08-29,埼玉県,福島県,3
2025-08-30,埼玉県,福島県,1
2025-08-01,埼玉県,千葉県,1
2025-08-02,埼玉県,千葉県,1
2025-08-03,埼玉県,千葉県,3
2025-08-04,埼玉県,千葉県,1
2025-08-05,埼玉県,千葉県,1
2025-08-06,埼玉県,千葉県,1
2025-08-07,埼玉県,千葉県,1
2025-08-08,埼玉県,千葉県,1
2025-08-09,埼玉県,千葉県,3
2025-08-10,埼玉県,千葉県,1
2025-08-11,埼玉県,千葉県,2
2025-08-12,埼玉県,千葉県,2
2025-08-13,埼玉県,千葉県,2
2025-08-14,埼玉県,千葉県,2
2025-08-15,埼玉県,千葉県,3
2025-08-16,埼玉県,千葉県,1
2025-08-17,埼玉県,千葉県,3
2025-08-18,埼玉県,千葉県,3
2025-08-19,埼玉県,千葉県,2
2025-08-20,埼玉県,千葉県,2
2025-08-21,埼玉県,千葉県,2
2025-08-22,埼玉県,千葉県,2
2025-08-23,埼玉県,千葉県,2
2025-08-24,埼玉県,千葉県,2
2025-08-25,埼玉県,千葉県,2
2025-08-26,埼玉県,千葉県,3
2025-08-27,埼玉県,千葉県,3
2025-08-28,埼玉県,千葉県,3
2025-08-29,埼玉県,千葉県,3
2025-08-30,埼玉県,千葉県,3
2025-08-01,埼玉県,福島県,2
2025-08-02,埼玉県,福島県,1
2025-08-03,埼玉県,福島県,1
2025-08-04,埼玉県,福島県,2
2025-08-05,埼玉県,福島県,1
2025-08-06,埼玉県,福島県,1
2025-08-07,埼玉県,福島県,1
2025-08-08,埼玉県,福島県,3
2025-08-09,埼玉県,福島県,1
2025-08-10,埼玉県,福島県,1
2025-08-11,埼玉県,福島県,3
2025-08-12,埼玉県,福島県,1
2025-08-13,埼玉県,福島県,1
2025-08-14,埼玉県,福島県,1
2025-08-15,埼玉県,福島県,1
2025-08-16,埼玉県,福島県,1
2025-08-17,埼玉県,福島県,1
2025-08-18,埼玉県,福島県,3
2025-08-19,埼玉県,福島県,1
2025-08-20,埼玉県,福島県,1
2025-08-21,埼玉県,福島県,1
2025-08-22,埼玉県,福島県,0
2025-08-23,埼玉県,福島県,1
2025-08-24,埼玉県,福島県,2
2025-08-25,埼玉県,福島県,1
2025-08-26,埼玉県,福島県,1
2025-08-27,埼玉県,福島県,1
2025-08-28,埼玉県,福島県,1
2025-08-29,埼玉県,福島県,0
2025-08-30,埼玉県,福島県,3
2025-08-01,埼玉県,千葉県,1
2025-08-02,埼玉県,千葉県,1
2025-08-03,埼玉県,千葉県,1
2025-08-04,埼玉県,千葉県,3
2025-08-05,埼玉県,千葉県,0
2025-08-06,埼玉県,千葉県,4
2025-08-07,埼玉県,千葉県,0
2025-08-08,埼玉県,千葉県,0
2025-08-09,埼玉県,千葉県,0
2025-08-10,埼玉県,千葉県,0
2025-08-11,埼玉県,千葉県,0
2025-08-12,埼玉県,千葉県,0
2025-08-13,埼玉県,千葉県,2
2025-08-14,埼玉県,千葉県,0
2025-08-15,埼玉県,千葉県,1
2025-08-16,埼玉県,千葉県,0
2025-08-17,埼玉県,千葉県,4
2025-08-18,埼玉県,千葉県,0
2025-08-19,埼玉県,千葉県,0
2025-08-20,埼玉県,千葉県,3
2025-08-21,埼玉県,千葉県,0
2025-08-22,埼玉県,千葉県,1
2025-08-23,埼玉県,千葉県,1
2025-08-24,埼玉県,千葉県,0
2025-08-25,埼玉県,千葉県,0
2025-08-26,埼玉県,千葉県,1
2025-08-27,埼玉県,千葉県,0
2025-08-28,埼玉県,千葉県,0
2025-08-29,埼玉県,千葉県,3
2025-08-30,埼玉県,千葉県,2
2025-08-01,千葉県,北海道,0
2025-08-02,千葉県,北海道,0
2025-08-03,千葉県,北海道,1
2025-08-04,千葉県,北海道,1
2025-08-05,千葉県,北海道,1
2025-08-06,千葉県,北海道,2
2025-08-07,千葉県,北海道,2
2025-08-08,千葉県,北海道,1
2025-08-09,千葉県,北海道,1
2025-08-10,千葉県,北海道,0
2025-08-11,千葉県,北海道,4
2025-08-12,千葉県,北海道,2
2025-08-13,千葉県,北海道,1
2025-08-14,千葉県,北海道,0
2025-08-15,千葉県,北海道,3
2025-08-16,千葉県,北海道,2
2025-08-17,千葉県,北海道,1
2025-08-18,千葉県,北海道,2
2025-08-19,千葉県,北海道,2
2025-08-20,千葉県,北海道,1
2025-08-21,千葉県,北海道,1
2025-08-22,千葉県,北海道,1
2025-08-23,千葉県,北海道,0
2025-08-24,千葉県,北海道,1
2025-08-25,千葉県,北海道,1
2025-08-26,千葉県,北海道,0
2025-08-27,千葉県,北海道,1
2025-08-28,千葉県,北海道,1
2025-08-29,千葉県,北海道,1
2025-08-30,千葉県,北海道,1
2025-08-01,千葉県,神奈川県,1
2025-08-02,千葉県,神奈川県,1
2025-08-03,千葉県,神奈川県,1
2025-08-04,千葉県,神奈川県,1
2025-08-05,千葉県,神奈川県,1
2025-08-06,千葉県,神奈川県,1
2025-08-07,千葉県,神奈川県,1
2025-08-08,千葉県,神奈川県,1
2025-08-09,千葉県,神奈川県,1
2025-08-10,千葉県,神奈川県,0
2025-08-11,千葉県,神奈川県,0
2025-08-12,千葉県,神奈川県,0
2025-08-13,千葉県,神奈川県,0
2025-08-14,千葉県,神奈川県,0
2025-08-15,千葉県,神奈川県,0
2025-08-16,千葉県,神奈川県,1
2025-08-17,千葉県,神奈川県,0
2025-08-18,千葉県,神奈川県,0
2025-08-19,千葉県,神奈川県,1
2025-08-20,千葉県,神奈川県,1
2025-08-21,千葉県,神奈川県,2
2025-08-22,千葉県,神奈川県,2
2025-08-23,千葉県,神奈川県,1
2025-08-24,千葉県,神奈川県,1
2025-08-25,千葉県,神奈川県,0
2025-08-26,千葉県,神奈川県,1
2025-08-27,千葉県,神奈川県,2
2025-08-28,千葉県,神奈川県,1
2025-08-29,千葉県,神奈川県,1
2025-08-30,千葉県,神奈川県,1
2025-08-01,千葉県,福島県,0
2025-08-02,千葉県,福島県,0
2025-08-03,千葉県,福島県,0
2025-08-04,千葉県,福島県,1
2025-08-05,千葉県,福島県,2
2025-08-06,千葉県,福島県,2
2025-08-07,千葉県,福島県,2
2025-08-08,千葉県,福島県,2
2025-08-09,千葉県,福島県,2
2025-08-10,千葉県,福島県,1
2025-08-11,千葉県,福島県,1
2025-08-12,千葉県,福島県,2
2025-08-13,千葉県,福島県,2
2025-08-14,千葉県,福島県,2
2025-08-15,千葉県,福島県,1
2025-08-16,千葉県,福島県,2
2025-08-17,千葉県,福島県,1
2025-08-18,千葉県,福島県,1
2025-08-19,千葉県,福島県,2
2025-08-20,千葉県,福島県,2
2025-08-21,千葉県,福島県,2
2025-08-22,千葉県,福島県,2
2025-08-23,千葉県,福島県,2
2025-08-24,千葉県,福島県,1
2025-08-25,千葉県,福島県,0
2025-08-26,千葉県,福島県,2
2025-08-27,千葉県,福島県,2
2025-08-28,千葉県,福島県,2
2025-08-29,千葉県,福島県,2
2025-08-30,千葉県,福島県,2
2025-08-01,千葉県,長野県,0
2025-08-02,千葉県,長野県,0
2025-08-03,千葉県,長野県,0
2025-08-04,千葉県,長野県,0
2025-08-05,千葉県,長野県,0
2025-08-06,千葉県,長野県,0
2025-08-07,千葉県,長野県,0
2025-08-08,千葉県,長野県,0
2025-08-09,千葉県,長野県,0
2025-08-10,千葉県,長野県,0
2025-08-11,千葉県,長野県,0
2025-08-12,千葉県,長野県,0
2025-08-13,千葉県,長野県,0
2025-08-14,千葉県,長野県,0
2025-08-15,千葉県,長野県,0
2025-08-16,千葉県,長野県,0
2025-08-17,千葉県,長野県,0
2025-08-18,千葉県,長野県,0
2025-08-19,千葉県,長野県,1
2025-08-20,千葉県,長野県,1
2025-08-21,千葉県,長野県,1
2025-08-22,千葉県,長野県,1
2025-08-23,千葉県,長野県,1
2025-08-24,千葉県,長野県,1
2025-08-25,千葉県,長野県,0
2025-08-26,千葉県,長野県,0
2025-08-27,千葉県,長野県,0
2025-08-28,千葉県,長野県,0
2025-08-29,千葉県,長野県,0
2025-08-30,千葉県,長野県,0
2025-08-01,千葉県,埼玉県,0
2025-08-02,千葉県,埼玉県,0
2025-08-03,千葉県,埼玉県,0  
2025-08-04,千葉県,埼玉県,0
2025-08-05,千葉県,埼玉県,0
2025-08-06,千葉県,埼玉県,0
2025-08-07,千葉県,埼玉県,0
2025-08-08,千葉県,埼玉県,0
2025-08-09,千葉県,埼玉県,0
2025-08-10,千葉県,埼玉県,0
2025-08-11,千葉県,埼玉県,0
2025-08-12,千葉県,埼玉県,0
2025-08-13,千葉県,埼玉県,0
2025-08-14,千葉県,埼玉県,2 
2025-08-15,千葉県,埼玉県,0
2025-08-16,千葉県,埼玉県,0
2025-08-17,千葉県,埼玉県,0
2025-08-18,千葉県,埼玉県,0
2025-08-19,千葉県,埼玉県,0
2025-08-20,千葉県,埼玉県,0
2025-08-21,千葉県,埼玉県,0
2025-08-22,千葉県,埼玉県,0
2025-08-23,千葉県,埼玉県,0
2025-08-24,千葉県,埼玉県,0
2025-08-25,千葉県,埼玉県,1
2025-08-26,千葉県,埼玉県,0
2025-08-27,千葉県,埼玉県,0
2025-08-28,千葉県,埼玉県,0
2025-08-29,千葉県,埼玉県,2
2025-08-30,千葉県,埼玉県,0
2025-08-01,大阪府,鹿児島県,0
2025-08-02,大阪府,鹿児島県,0
2025-08-03,大阪府,鹿児島県,0
2025-08-04,大阪府,鹿児島県,0
2025-08-05,大阪府,鹿児島県,0
2025-08-06,大阪府,鹿児島県,0
2025-08-07,大阪府,鹿児島県,0
2025-08-08,大阪府,鹿児島県,0
2025-08-09,大阪府,鹿児島県,2
2025-08-10,大阪府,鹿児島県,2
2025-08-11,大阪府,鹿児島県,0
2025-08-12,大阪府,鹿児島県,1
2025-08-13,大阪府,鹿児島県,1
2025-08-14,大阪府,鹿児島県,1
2025-08-15,大阪府,鹿児島県,1
2025-08-16,大阪府,鹿児島県,1
2025-08-17,大阪府,鹿児島県,1
2025-08-18,大阪府,鹿児島県,0
2025-08-19,大阪府,鹿児島県,1
2025-08-20,大阪府,鹿児島県,1
2025-08-21,大阪府,鹿児島県,1
2025-08-22,大阪府,鹿児島県,1
2025-08-23,大阪府,鹿児島県,1
2025-08-24,大阪府,鹿児島県,1
2025-08-25,大阪府,鹿児島県,0
2025-08-26,大阪府,鹿児島県,0
2025-08-27,大阪府,鹿児島県,0
2025-08-28,大阪府,鹿児島県,0
2025-08-29,大阪府,鹿児島県,0
2025-08-30,大阪府,鹿児島県,0
2025-08-01,大阪府,北海道,1
2025-08-02,大阪府,北海道,1
2025-08-03,大阪府,北海道,1
2025-08-04,大阪府,北海道,0
2025-08-05,大阪府,北海道,0
2025-08-06,大阪府,北海道,0
2025-08-07,大阪府,北海道,0
2025-08-08,大阪府,北海道,0
2025-08-09,大阪府,北海道,0
2025-08-10,大阪府,北海道,0
2025-08-11,大阪府,北海道,0
2025-08-12,大阪府,北海道,1
2025-08-13,大阪府,北海道,0
2025-08-14,大阪府,北海道,1
2025-08-15,大阪府,北海道,1
2025-08-16,大阪府,北海道,2
2025-08-17,大阪府,北海道,1
2025-08-18,大阪府,北海道,0
2025-08-19,大阪府,北海道,0
2025-08-20,大阪府,北海道,0
2025-08-21,大阪府,北海道,0
2025-08-22,大阪府,北海道,0
2025-08-23,大阪府,北海道,0
2025-08-24,大阪府,北海道,0
2025-08-25,大阪府,北海道,0
2025-08-26,大阪府,北海道,0
2025-08-27,大阪府,北海道,0
2025-08-28,大阪府,北海道,0
2025-08-29,大阪府,北海道,0
2025-08-30,大阪府,北海道,0
2025-08-01,大阪府,京都府,1
2025-08-02,大阪府,京都府,4
2025-08-03,大阪府,京都府,3
2025-08-04,大阪府,京都府,0
2025-08-05,大阪府,京都府,0
2025-08-06,大阪府,京都府,0
2025-08-07,大阪府,京都府,2
2025-08-08,大阪府,京都府,0
2025-08-09,大阪府,京都府,0
2025-08-10,大阪府,京都府,0
2025-08-11,大阪府,京都府,3
2025-08-12,大阪府,京都府,0
2025-08-13,大阪府,京都府,0
2025-08-14,大阪府,京都府,0
2025-08-15,大阪府,京都府,0
2025-08-16,大阪府,京都府,2
2025-08-17,大阪府,京都府,0
2025-08-18,大阪府,京都府,0
2025-08-19,大阪府,京都府,3
2025-08-20,大阪府,京都府,0
2025-08-21,大阪府,京都府,2
2025-08-22,大阪府,京都府,0
2025-08-23,大阪府,京都府,1
2025-08-24,大阪府,京都府,0
2025-08-25,大阪府,京都府,0
2025-08-26,大阪府,京都府,3
2025-08-27,大阪府,京都府,0
2025-08-28,大阪府,京都府,2
2025-08-29,大阪府,京都府,0
2025-08-30,大阪府,京都府,0
2025-08-01,大阪府,福岡県,1
2025-08-02,大阪府,福岡県,2
2025-08-03,大阪府,福岡県,3
2025-08-04,大阪府,福岡県,2
2025-08-05,大阪府,福岡県,1
2025-08-06,大阪府,福岡県,0
2025-08-07,大阪府,福岡県,2
2025-08-08,大阪府,福岡県,0
2025-08-09,大阪府,福岡県,0
2025-08-10,大阪府,福岡県,2
2025-08-11,大阪府,福岡県,0
2025-08-12,大阪府,福岡県,2
2025-08-13,大阪府,福岡県,1
2025-08-14,大阪府,福岡県,2
2025-08-15,大阪府,福岡県,3
2025-08-16,大阪府,福岡県,0
2025-08-17,大阪府,福岡県,0
2025-08-18,大阪府,福岡県,0
2025-08-19,大阪府,福岡県,0
2025-08-20,大阪府,福岡県,0
2025-08-21,大阪府,福岡県,0
2025-08-22,大阪府,福岡県,2
2025-08-23,大阪府,福岡県,1
2025-08-24,大阪府,福岡県,2
2025-08-25,大阪府,福岡県,0
2025-08-26,大阪府,福岡県,1
2025-08-27,大阪府,福岡県,1
2025-08-28,大阪府,福岡県,1
2025-08-29,大阪府,福岡県,1
2025-08-30,大阪府,福岡県,1
2025-08-01,大阪府,宮城県,1
2025-08-02,大阪府,宮城県,1
2025-08-03,大阪府,宮城県,0
2025-08-04,大阪府,宮城県,0
2025-08-05,大阪府,宮城県,1
2025-08-06,大阪府,宮城県,1
2025-08-07,大阪府,宮城県,1
2025-08-08,大阪府,宮城県,1
2025-08-09,大阪府,宮城県,1
2025-08-10,大阪府,宮城県,0
2025-08-11,大阪府,宮城県,0
2025-08-12,大阪府,宮城県,1
2025-08-13,大阪府,宮城県,1
2025-08-14,大阪府,宮城県,1
2025-08-15,大阪府,宮城県,1
2025-08-16,大阪府,宮城県,1
2025-08-17,大阪府,宮城県,0
2025-08-18,大阪府,宮城県,0
2025-08-19,大阪府,宮城県,1
2025-08-20,大阪府,宮城県,1
2025-08-21,大阪府,宮城県,1
2025-08-22,大阪府,宮城県,1
2025-08-23,大阪府,宮城県,1
2025-08-24,大阪府,宮城県,0
2025-08-25,大阪府,宮城県,0
2025-08-26,大阪府,宮城県,0
2025-08-27,大阪府,宮城県,1
2025-08-28,大阪府,宮城県,1
2025-08-29,大阪府,宮城県,1
2025-08-30,大阪府,宮城県,2
2025-08-01,京都府,大阪府,2
2025-08-02,京都府,大阪府,1
2025-08-03,京都府,大阪府,1
2025-08-04,京都府,大阪府,2
2025-08-05,京都府,大阪府,2
2025-08-06,京都府,大阪府,0
2025-08-07,京都府,大阪府,0
2025-08-08,京都府,大阪府,0
2025-08-09,京都府,大阪府,0
2025-08-10,京都府,大阪府,0
2025-08-11,京都府,大阪府,1
2025-08-12,京都府,大阪府,0
2025-08-13,京都府,大阪府,0
2025-08-14,京都府,大阪府,0
2025-08-15,京都府,大阪府,0
2025-08-16,京都府,大阪府,0
2025-08-17,京都府,大阪府,1
2025-08-18,京都府,大阪府,0
2025-08-19,京都府,大阪府,0
2025-08-20,京都府,大阪府,0
2025-08-21,京都府,大阪府,1
2025-08-22,京都府,大阪府,1
2025-08-23,京都府,大阪府,3
2025-08-24,京都府,大阪府,3
2025-08-25,京都府,大阪府,0
